Name,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Definition Côtes Du Rhône 2016,84,70,10.99,red wine,french,old world,,,0.8333333333333334
Definition Gavi DOCG 2017,0,0,11.99,white wine,italian,old world,,,
Definition Gruner Veltliner 2017,7,7,10.99,white wine,,,,,1
Definition Marlborough Pinot Noir 2016,39,38,15.99,red wine,new-zealand,new world,,marlborough wine,0.9743589743589743
Definition Marlborough Sauvignon Blanc 2016,61,55,10.99,white wine,new-zealand,new world,,marlborough wine,0.9016393442622951
Definition Medoc Claret,0,0,11.99,red wine,,,,,
Definition Pinot Grigio 2016,32,28,11.99,white wine,italian,old world,,,0.875
Definition Provence Rosé 2016,7,5,11.99,rose wine,,,,,0.7142857142857143
Definition Shiraz 2016,25,21,12.99,red wine,australian,new world,,,0.84
Definition Viognier,51,41,10.99,white wine,french,old world,,south of france,0.803921568627451
Definition Zinfandel 2016,133,130,9.99,red wine,,,,california,0.9774436090225563
"Dehesa Gago, Tinta de Toro 2016",1,1,14.99,red wine,,,,,1
Devil's Creek Marlborough Sauvignon Blanc 2016,119,109,9.99,white wine,new-zealand,new world,,marlborough wine,0.9159663865546218
Devil's Creek Pinot Noir,5,2,11.99,red wine,new-zealand,new world,,marlborough wine,0.4
Diemersdal Gruner Veltliner 2017 Durbanville,12,10,11.99,white wine,south-african,new world,,,0.8333333333333334
Dogajolo Carpineto 2015 Toscana,77,66,11.99,red wine,italian,old world,,,0.8571428571428571
Dolcetto d?Alba 2015 De Forville,21,16,11.99,red wine,italian,old world,,,0.7619047619047619
Domaine Bouzereau Gruere Puligny Montrachet 2015,0,0,43,fine wine,,,chardonnay,,
Domaine Chatelain Chablis 2015,5,4,17.99,white wine,french,old world,chardonnay,burgundy,0.8
Domaine Compostelle Pomerol 2011,1,1,26.99,red wine,french,old world,,bordeaux,1
Domaine La Chautarde Rosé 2016/17 Côteaux Varois en Provence,98,89,9.99,rose wine,french,old world,,,0.9081632653061225
Domaine Les Yeuses 'Les Epices' Syrah 2015 PGI Pays d'Oc,57,46,9.99,red wine,french,old world,,south of france,0.8070175438596491
Domaine Martin St Veran 'Les Maillettes' 2015,6,6,17.99,white wine,,,,,1
Domaine Pardon Julienas 2016,7,5,12.99,red wine,french,old world,,,0.7142857142857143
Domaine Saint Ferréol Viognier 2015 PGI Pays d'Oc,26,26,13.99,white wine,french,old world,,south of france,1
Domaine de Villargeau 2016 Côteaux du Giennois,58,54,12.99,white wine,french,old world,sauvignon blanc,,0.9310344827586207
"Domaine de Villemajou 2015 Corbières Boutenac, Gérard Bertrand",28,25,16.99,red wine,french,old world,,south of france,0.8928571428571429
Domaine du Vaux Chenonceaux 2016,4,2,14.99,white wine,french,old world,,,0.5
Doudet Naudin Bouzeron Aligote,2,2,14.99,white wine,,,,,1
Dourthe Réserve Sauvignon Blanc 2016 Bordeaux Blanc Sec,28,23,11.99,white wine,french,old world,sauvignon blanc,bordeaux,0.8214285714285714
Dr Loosen Blue Slate Riesling BA,0,0,19.99,white wine,,,,,
Dr Loosen Slate Hill Riesling 2016,32,24,10.99,white wine,,,riesling,,0.75
Dreams Chardonnay 2014 Jermann,0,0,42,fine wine,italian,old world,chardonnay,,
